Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
mainPackage.Expression.ListEvaluator,list,@ListEvaluator,list,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
mainPackage.Expression.ListEvaluator,list,@ListEvaluator,list,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,java.util.Stack,stack,java.util.Stack,stack,push,push
mainPackage.Expression.ListEvaluator,list,@ListEvaluator,list,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,newInstance,new:instance
mainPackage.Expression.ListEvaluator,list,@ListEvaluator,list,eval,none,Evaluator:Evaluator:Evaluator:Evaluator,none,mainPackage.Expression.ListEvaluator,list,@ListEvaluator,list,process,process
mainPackage.Expression.ListEvaluator,list,@ListEvaluator,list,process,process,Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.ExpressionFactory,expression:factory,main.lisp.parser.terms.ExpressionFactory,expression:factory,newInstance,new:instance
mainPackage.Expression.ListEvaluator,list,@ListEvaluator,list,process,process,Evaluator:Evaluator:Evaluator:Evaluator,none,java.util.Stack,stack,java.util.Stack,stack,pop,pop
mainPackage.Expression.QuoteEvaluator,quote,@QuoteEvaluator,quote,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
mainPackage.Expression.QuoteEvaluator,quote,@QuoteEvaluator,quote,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,IllegalStateException,illegal:state:exception,java.lang.IllegalStateException,illegal:state:exception,IllegalStateException,illegal:state:exception
mainPackage.Expression.QuoteEvaluator,quote,@QuoteEvaluator,quote,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
mainPackage.Expression.QuoteEvaluator,quote,@QuoteEvaluator,quote,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,IllegalStateException,illegal:state:exception,java.lang.IllegalStateException,illegal:state:exception,IllegalStateException,illegal:state:exception
mainPackage.Expression.QuoteEvaluator,quote,@QuoteEvaluator,quote,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
mainPackage.Grader,grader,Grader,grader,main,main,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,util.trace.Tracer,tracer,util.trace.Tracer,tracer,showInfo,show:info
mainPackage.Grader,grader,Grader,grader,main,main,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setBufferTracedMessages,set:buffer:traced:messages
mainPackage.Grader,grader,Grader,grader,main,main,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setTracerShowInfo,set:tracer:show:info
mainPackage.Grader,grader,Grader,grader,main,main,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.LispInterpreterTraceUtility,lisp:interpreter:trace:utility,main.LispInterpreterTraceUtility,lisp:interpreter:trace:utility,setTracing,set:tracing
mainPackage.Grader,grader,Grader,grader,main,main,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.evaluator.ExpressionEvaluatorFactory,expression:factory,main.lisp.evaluator.ExpressionEvaluatorFactory,expression:factory,setClass,set:class
mainPackage.Grader,grader,Grader,grader,main,main,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,gradingTools.comp524f21.assignment6.F21Assignment6Suite,assignment:suite,gradingTools.comp524f21.assignment6.F21Assignment6Suite,assignment:suite,main,main
mainPackage.Logical.AndEval,and,@AndEvaluator,and,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
mainPackage.Logical.AndEval,and,@AndEvaluator,and,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,newInstance,new:instance
mainPackage.Logical.AndEval,and,@AndEvaluator,and,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
mainPackage.Logical.AndEval,and,@AndEvaluator,and,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,isAtom,is:atom
mainPackage.Logical.AndEval,and,@AndEvaluator,and,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
mainPackage.Logical.AndEval,and,@AndEvaluator,and,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
mainPackage.Logical.AndEval,and,@AndEvaluator,and,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,newInstance,new:instance
mainPackage.Logical.AndEval,and,@AndEvaluator,and,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
mainPackage.Logical.OrEval,or,@OrEvaluator,or,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
mainPackage.Logical.OrEval,or,@OrEvaluator,or,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,main.lisp.parser.terms.TAtomicExpressionFactory,atomic:expression:factory,newInstance,new:instance
mainPackage.Logical.OrEval,or,@OrEvaluator,or,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
mainPackage.Logical.OrEval,or,@OrEvaluator,or,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,isAtom,is:atom
mainPackage.Logical.OrEval,or,@OrEvaluator,or,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
mainPackage.Logical.OrEval,or,@OrEvaluator,or,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
mainPackage.Logical.OrEval,or,@OrEvaluator,or,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
mainPackage.Logical.OrEval,or,@OrEvaluator,or,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,main.lisp.parser.terms.NilAtomicExpressionFactory,nil:atomic:expression:factory,newInstance,new:instance
mainPackage.LambdaApplicationEvaluator,lambda:application,LambdaApplicationEvaluator,lambda:application,helper,helper,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.evaluator.function.Lambda,lambda,main.lisp.evaluator.function.Lambda,lambda,getArgumentNames,get:argument:names
mainPackage.LambdaApplicationEvaluator,lambda:application,LambdaApplicationEvaluator,lambda:application,helper,helper,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.evaluator.Environment,environment,main.lisp.evaluator.Environment,environment,newChild,new:child
mainPackage.LambdaApplicationEvaluator,lambda:application,LambdaApplicationEvaluator,lambda:application,helper,helper,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
mainPackage.LambdaApplicationEvaluator,lambda:application,LambdaApplicationEvaluator,lambda:application,helper,helper,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.evaluator.Environment,environment,main.lisp.evaluator.Environment,environment,assign,assign
mainPackage.LambdaApplicationEvaluator,lambda:application,LambdaApplicationEvaluator,lambda:application,helper,helper,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
mainPackage.LambdaApplicationEvaluator,lambda:application,LambdaApplicationEvaluator,lambda:application,helper,helper,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
mainPackage.LambdaApplicationEvaluator,lambda:application,LambdaApplicationEvaluator,lambda:application,helper,helper,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
mainPackage.LambdaApplicationEvaluator,lambda:application,LambdaApplicationEvaluator,lambda:application,helper,helper,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.evaluator.function.Lambda,lambda,main.lisp.evaluator.function.Lambda,lambda,eval,none
mainPackage.Expression.EvalEvaluator,none,@EvalEvaluator,none,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
mainPackage.Expression.EvalEvaluator,none,@EvalEvaluator,none,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,IllegalStateException,illegal:state:exception,java.lang.IllegalStateException,illegal:state:exception,IllegalStateException,illegal:state:exception
mainPackage.Expression.EvalEvaluator,none,@EvalEvaluator,none,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
mainPackage.Expression.EvalEvaluator,none,@EvalEvaluator,none,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,IllegalStateException,illegal:state:exception,java.lang.IllegalStateException,illegal:state:exception,IllegalStateException,illegal:state:exception
mainPackage.Expression.EvalEvaluator,none,@EvalEvaluator,none,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
mainPackage.Expression.EvalEvaluator,none,@EvalEvaluator,none,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
mainPackage.Expression.EvalEvaluator,none,@EvalEvaluator,none,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
mainPackage.Functional.FuncallEvaluator,none,@BasicFuncallEvaluator,basic,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,isAtom,is:atom
mainPackage.Functional.FuncallEvaluator,none,@BasicFuncallEvaluator,basic,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,isAtom,is:atom
mainPackage.Functional.FuncallEvaluator,none,@BasicFuncallEvaluator,basic,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
mainPackage.Functional.FuncallEvaluator,none,@BasicFuncallEvaluator,basic,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.ExpressionFactory,expression:factory,main.lisp.parser.terms.ExpressionFactory,expression:factory,newInstance,new:instance
mainPackage.Functional.FuncallEvaluator,none,@BasicFuncallEvaluator,basic,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.TAtom,atom,main.lisp.parser.terms.TAtom,atom,TAtom,atom
mainPackage.Functional.FuncallEvaluator,none,@BasicFuncallEvaluator,basic,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.TAtom,atom,main.lisp.parser.terms.TAtom,atom,TAtom,atom
mainPackage.Functional.FuncallEvaluator,none,@BasicFuncallEvaluator,basic,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,RuntimeException,exception,java.lang.RuntimeException,exception,RuntimeException,exception
mainPackage.Functional.FuncallEvaluator,none,@BasicFuncallEvaluator,basic,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
mainPackage.Functional.FuncallEvaluator,none,@BasicFuncallEvaluator,basic,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
mainPackage.Functional.FuncallEvaluator,none,@BasicFuncallEvaluator,basic,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
mainPackage.Functional.FuncallEvaluator,none,@BasicFuncallEvaluator,basic,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.evaluator.function.Function,function,main.lisp.evaluator.function.Function,function,helper,helper
mainPackage.CurryEvaluator,curry,CurryEvaluator,curry,addNonCurriedArgs,add:non:curried:args,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.NilAtom,nil:atom,main.lisp.parser.terms.NilAtom,nil:atom,NilAtom,nil:atom
mainPackage.CurryEvaluator,curry,CurryEvaluator,curry,addCurriedArgs,add:curried:args,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,java.util.List,list,java.util.List,list,size,size
mainPackage.CurryEvaluator,curry,CurryEvaluator,curry,addCurriedArgs,add:curried:args,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,java.util.List,list,java.util.List,list,get,get
mainPackage.CurryEvaluator,curry,CurryEvaluator,curry,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
mainPackage.CurryEvaluator,curry,CurryEvaluator,curry,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
mainPackage.CurryEvaluator,curry,CurryEvaluator,curry,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
mainPackage.CurryEvaluator,curry,CurryEvaluator,curry,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.evaluator.function.Lambda,lambda,main.lisp.evaluator.function.Lambda,lambda,getArgumentNames,get:argument:names
mainPackage.CurryEvaluator,curry,CurryEvaluator,curry,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,java.util.ArrayList,array:list,java.util.ArrayList,array:list,ArrayList,array:list
mainPackage.CurryEvaluator,curry,CurryEvaluator,curry,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
mainPackage.CurryEvaluator,curry,CurryEvaluator,curry,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
mainPackage.CurryEvaluator,curry,CurryEvaluator,curry,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,isAtom,is:atom
mainPackage.CurryEvaluator,curry,CurryEvaluator,curry,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,java.util.List,list,java.util.List,list,add,add
mainPackage.CurryEvaluator,curry,CurryEvaluator,curry,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,eval,none
mainPackage.CurryEvaluator,curry,CurryEvaluator,curry,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getHead,get:head
mainPackage.CurryEvaluator,curry,CurryEvaluator,curry,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.SExpression,expression,main.lisp.parser.terms.SExpression,expression,getTail,get:tail
mainPackage.CurryEvaluator,curry,CurryEvaluator,curry,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,java.util.List,list,java.util.List,list,size,size
mainPackage.CurryEvaluator,curry,CurryEvaluator,curry,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,mainPackage.BetterSExpression,better:expression,@StringFormattingSExpression,string:formatting:expression,BetterSExpression,better:expression
mainPackage.CurryEvaluator,curry,CurryEvaluator,curry,eval,none,Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator:Evaluator,none,main.lisp.parser.terms.NilAtom,nil:atom,main.lisp.parser.terms.NilAtom,nil:atom,NilAtom,nil:atom
