Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
18,,Sat Nov 06 13:48:56 EDT 2021,BetterSExpression.java,1636220936868,121076,0,(R)1(I)4(F)4(I)3(D)1(F)1,0.5,7.142857142857142,0.0,35.714285714285715,0.0,0.0,0.11570247933884298,0.0,0.008264462809917356,0.04132231404958678,0.0,0.008264462809917356,0.05785123966942149,0.0,[]
19,,Sat Nov 06 13:50:58 EDT 2021,BetterSExpression.java,1636221058001,45849,0,(F)1(D)1(F)2(I)3(D)1(F)2,0.3,20.0,0.0,50.0,0.0,0.0,0.2222222222222222,0.0,0.044444444444444446,0.1111111111111111,0.0,0.0,0.06666666666666667,0.0,[]
20,,Sat Nov 06 13:51:46 EDT 2021,BetterSExpression.java,1636221106589,108165,0,(F)2(I)1(R)1(F)2(I)4,0.5,0.0,0.0,40.0,0.0,0.0,0.09259259259259259,0.0,0.0,0.037037037037037035,0.0,0.009259259259259259,0.046296296296296294,0.0,[]
21,,Sat Nov 06 13:53:34 EDT 2021,BetterSExpression.java,1636221214754,23795,0,(I)3(R)4(I)1(R)4(D)1(F)1,0.2857142857142857,7.142857142857142,0.0,7.142857142857142,0.0,0.0,0.6086956521739131,0.0,0.043478260869565216,0.043478260869565216,0.0,0.34782608695652173,0.17391304347826086,0.0,[]
22,,Sat Nov 06 13:53:58 EDT 2021,BetterSExpression.java,1636221238549,11001,0,(F)1(I)1(F)2(I)3(R)1(I)1(R)1(I)1(R)2(I)6,0.631578947368421,0.0,0.0,15.789473684210526,0.0,0.0,1.7272727272727273,0.0,0.0,0.2727272727272727,0.0,0.36363636363636365,1.0909090909090908,0.0,[]
23,,Sat Nov 06 13:54:09 EDT 2021,BetterSExpression.java,1636221249558,5272,5272,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,[]
24,,Sat Nov 06 13:54:15 EDT 2021,BetterSExpression.java,1636221255197,4624,4624,(I)24,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,[]
25,,Sat Nov 06 13:54:20 EDT 2021,BetterSExpression.java,1636221260866,13741,0,(D)1(F)8,0.0,11.11111111111111,0.0,88.88888888888889,0.0,0.0,0.6923076923076923,0.0,0.07692307692307693,0.6153846153846154,0.0,0.0,0.0,0.0,[]
26,,Sat Nov 06 13:54:35 EDT 2021,BetterSExpression.java,1636221275080,23785,0,(F)4(I)1(F)2(R)8(I)2,0.17647058823529413,0.0,0.0,35.294117647058826,0.0,0.0,0.7391304347826086,0.0,0.0,0.2608695652173913,0.0,0.34782608695652173,0.13043478260869565,0.0,[]
27,,Sat Nov 06 13:54:58 EDT 2021,BetterSExpression.java,1636221298904,4886,4886,(I)6(R)1(I)10(R)1(I)2,0.9,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.5,4.5,0.0,[]
28,,Sat Nov 06 13:55:03 EDT 2021,BetterSExpression.java,1636221303852,5405,5405,(I)3(R)1(I)6(R)1(I)13,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.4,4.4,0.0,[]
29,,Sat Nov 06 13:55:09 EDT 2021,BetterSExpression.java,1636221309621,4076,4076,(I)23,1.0,0.0,0.0,0.0,0.0,0.0,5.75,0.0,0.0,0.0,0.0,0.0,5.75,0.0,[]
30,,Sat Nov 06 13:55:14 EDT 2021,BetterSExpression.java,1636221314736,17655,0,(I)5(R)1(I)13,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,1.1176470588235294,0.0,0.0,0.0,0.0,0.058823529411764705,1.0588235294117647,0.0,[]
31,,Sat Nov 06 13:55:32 EDT 2021,BetterSExpression.java,1636221332501,-32699,-32699,(I)9(R)5(I)8(R)1(I)1(R)1,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
32,,Sat Nov 06 13:54:59 EDT 2021,BetterSExpression.java,1636221299874,38374,0,(I)1(R)1(I)1(R)1(I)1(R)1(I)2(R)1(I)1(R)1(I)9,0.75,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.0,0.0,0.0,0.0,0.13157894736842105,0.39473684210526316,0.0,[]
33,,Sat Nov 06 13:55:38 EDT 2021,BetterSExpression.java,1636221338413,6381,6381,(I)17,1.0,0.0,0.0,0.0,0.0,0.0,2.8333333333333335,0.0,0.0,0.0,0.0,0.0,2.8333333333333335,0.0,[]
34,,Sat Nov 06 13:55:44 EDT 2021,BetterSExpression.java,1636221344976,6830,6830,(I)19,1.0,0.0,0.0,0.0,0.0,0.0,3.1666666666666665,0.0,0.0,0.0,0.0,0.0,3.1666666666666665,0.0,[]
35,,Sat Nov 06 13:55:51 EDT 2021,BetterSExpression.java,1636221351856,6770,6770,(I)8(R)1(I)7(R)1(I)2(R)1,0.85,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.5,2.8333333333333335,0.0,[]
36,,Sat Nov 06 13:55:58 EDT 2021,BetterSExpression.java,1636221358791,81036,0,(R)3(I)1(D)1(F)1(D)1(F)1(I)2(R)6,0.1875,12.5,0.0,12.5,0.0,0.0,0.19753086419753085,0.0,0.024691358024691357,0.024691358024691357,0.0,0.1111111111111111,0.037037037037037035,0.0,[]
37,,Sat Nov 06 13:57:19 EDT 2021,BetterSExpression.java,1636221439911,36718,0,(R)4(D)1(F)2(I)2(F)2(I)1,0.25,8.333333333333332,0.0,33.33333333333333,0.0,0.0,0.3333333333333333,0.0,0.027777777777777776,0.1111111111111111,0.0,0.1111111111111111,0.08333333333333333,0.0,[]
38,,Sat Nov 06 13:57:56 EDT 2021,BetterSExpression.java,1636221476875,19784,0,(I)8(D)1(F)1,0.8,10.0,0.0,10.0,0.0,0.0,0.5263157894736842,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.42105263157894735,0.0,[]
39,,Sat Nov 06 13:58:36 EDT 2021,BetterSExpression.java,1636221516716,2093,2093,(F)1(I)8(R)1(I)2(R)1(I)1(R)1(I)1(R)1(I)6,0.782608695652174,0.0,0.0,4.3478260869565215,0.0,0.0,11.5,0.0,0.0,0.5,0.0,2.0,9.0,0.0,[]
40,,Sat Nov 06 13:58:39 EDT 2021,BetterSExpression.java,1636221519748,6321,6321,(I)18(R)2(I)3,0.9130434782608695,0.0,0.0,0.0,0.0,0.0,3.8333333333333335,0.0,0.0,0.0,0.0,0.3333333333333333,3.5,0.0,[]
41,,Sat Nov 06 13:58:46 EDT 2021,BetterSExpression.java,1636221526069,5972,5972,(I)22,1.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,4.4,0.0,[]
42,,Sat Nov 06 13:58:52 EDT 2021,BetterSExpression.java,1636221532633,5472,5472,(I)9(R)2(I)3(R)2(I)1(R)2,0.6842105263157895,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,1.2,2.6,0.0,[]
43,,Sat Nov 06 13:58:59 EDT 2021,BetterSExpression.java,1636221539290,38508,0,(D)1(F)2(I)2(F)2(I)1(R)1,0.3333333333333333,11.11111111111111,0.0,44.44444444444444,0.0,0.0,0.23684210526315788,0.0,0.02631578947368421,0.10526315789473684,0.0,0.02631578947368421,0.07894736842105263,0.0,[]
44,,Sat Nov 06 13:59:41 EDT 2021,BetterSExpression.java,1636221581076,5841,5841,(I)21,1.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,4.2,0.0,[]
45,,Sat Nov 06 13:59:47 EDT 2021,BetterSExpression.java,1636221587051,-9767,-9767,(I)1(R)1(D)1(F)2(I)5(R)1(I)1(R)2(I)1(R)1,0.5,6.25,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
46,,Sat Nov 06 13:59:41 EDT 2021,BetterSExpression.java,1636221581804,112874,0,(I)3(R)1(I)8(F)2(I)1(R)4(I)3,0.6818181818181818,0.0,0.0,9.090909090909092,0.0,0.0,0.19642857142857142,0.0,0.0,0.017857142857142856,0.0,0.044642857142857144,0.13392857142857142,0.0,[]
47,,Sat Nov 06 14:01:34 EDT 2021,BetterSExpression.java,1636221694745,6773,6773,(I)15(R)1(I)6,0.9545454545454546,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.16666666666666666,3.5,0.0,[]
48,,Sat Nov 06 14:01:41 EDT 2021,BetterSExpression.java,1636221701529,11719,0,(I)2(R)3(I)2(R)1(I)10,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,1.6363636363636365,0.0,0.0,0.0,0.0,0.36363636363636365,1.2727272727272727,0.0,[]
49,,Sat Nov 06 14:01:53 EDT 2021,BetterSExpression.java,1636221713300,25422,0,(I)12(D)1(F)2(I)1,0.8125,6.25,0.0,12.5,0.0,0.0,0.64,0.0,0.04,0.08,0.0,0.0,0.52,0.0,[]
50,,Sat Nov 06 14:02:18 EDT 2021,BetterSExpression.java,1636221738722,15311,0,(I)6(D)1(F)2(I)1(R)2,0.5833333333333334,8.333333333333332,0.0,16.666666666666664,0.0,0.0,0.8,0.0,0.06666666666666667,0.13333333333333333,0.0,0.13333333333333333,0.4666666666666667,0.0,[]
51,,Sat Nov 06 14:02:36 EDT 2021,BetterSExpression.java,1636221756235,15404,0,(I)1(R)4(I)3(D)1(F)1,0.4,10.0,0.0,10.0,0.0,0.0,0.6666666666666666,0.0,0.06666666666666667,0.06666666666666667,0.0,0.26666666666666666,0.26666666666666666,0.0,[]
52,,Sat Nov 06 14:02:51 EDT 2021,ClassRegistry.java,1636221771639,116535,0,(F)1(R)2(D)1(F)2(I)4,0.4,10.0,0.0,30.0,0.0,0.0,0.08620689655172414,0.0,0.008620689655172414,0.02586206896551724,0.0,0.017241379310344827,0.034482758620689655,0.0,[]
53,,Sat Nov 06 14:04:56 EDT 2021,Runner.java,1636221896398,56121,0,(I)5(R)1(F)2(D)1(F)2(I)1(D)1,0.46153846153846156,15.384615384615385,0.0,30.76923076923077,0.0,0.0,0.23214285714285715,0.0,0.03571428571428571,0.07142857142857142,0.0,0.017857142857142856,0.10714285714285714,0.0,[]
54,,Sat Nov 06 14:05:54 EDT 2021,Runner.java,1636221954200,62557,0,(F)3,0.0,0.0,0.0,100.0,0.0,0.0,0.04838709677419355,0.0,0.0,0.04838709677419355,0.0,0.0,0.0,0.0,[]
55,,Sat Nov 06 14:06:56 EDT 2021,Runner.java,1636222016757,58017,0,(F)1(D)1(F)2(D)1(F)1,0.0,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.10344827586206896,0.0,0.034482758620689655,0.06896551724137931,0.0,0.0,0.0,0.0,[]
56,,Sat Nov 06 14:07:54 EDT 2021,BetterSExpression.java,1636222074774,28180,0,(F)3(I)2(R)1(D)1,0.2857142857142857,14.285714285714285,0.0,42.857142857142854,0.0,0.0,0.25,0.0,0.03571428571428571,0.10714285714285714,0.0,0.03571428571428571,0.07142857142857142,0.0,[]
57,,Sat Nov 06 14:08:23 EDT 2021,ClassRegistry.java,1636222103017,-363109,-363109,(D)2(I)3(R)1(I)1(R)1(I)1(R)2(I)6,0.6470588235294118,11.76470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
58,,Sat Nov 06 14:02:32 EDT 2021,Grader.java,1636221752880,381290,0,(R)2(I)1(R)3(I)3(D)1(F)2,0.3333333333333333,8.333333333333332,0.0,16.666666666666664,0.0,0.0,0.031496062992125984,0.0,0.0026246719160104987,0.005249343832020997,0.0,0.013123359580052493,0.010498687664041995,0.0,[]
59,,Sat Nov 06 14:08:55 EDT 2021,ClassRegistry.java,1636222135696,22400,0,(F)2(I)1(D)1(F)6,0.1,10.0,0.0,80.0,0.0,0.0,0.45454545454545453,0.0,0.045454545454545456,0.36363636363636365,0.0,0.0,0.045454545454545456,0.0,[]
60,,Sat Nov 06 14:09:19 EDT 2021,BetterSExpression.java,1636222159966,16966,0,(I)19,1.0,0.0,0.0,0.0,0.0,0.0,1.1875,0.0,0.0,0.0,0.0,0.0,1.1875,0.0,[]
61,,Sat Nov 06 14:09:36 EDT 2021,BetterSExpression.java,1636222176995,2709,2709,(I)12,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,[]
62,,Sat Nov 06 14:09:39 EDT 2021,BetterSExpression.java,1636222179996,8542,8542,(I)16(R)1(I)1(R)1(I)2,0.9047619047619048,0.0,0.0,0.0,0.0,0.0,2.625,0.0,0.0,0.0,0.0,0.25,2.375,0.0,[]
63,,Sat Nov 06 14:09:48 EDT 2021,BetterSExpression.java,1636222188813,4606,4606,(I)7(R)1(I)9(R)2(I)3(R)2,0.7916666666666666,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.25,4.75,0.0,[]
64,,Sat Nov 06 14:09:53 EDT 2021,BetterSExpression.java,1636222193536,6580,6580,(I)10(R)1(I)2(R)1(I)4,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.3333333333333333,2.6666666666666665,0.0,[]
65,,Sat Nov 06 14:10:02 EDT 2021,BetterSExpression.java,1636222202380,25163,0,(D)1(F)4(D)1(F)3,0.0,22.22222222222222,0.0,77.77777777777779,0.0,0.0,0.36,0.0,0.08,0.28,0.0,0.0,0.0,0.0,[]
66,,Sat Nov 06 14:10:30 EDT 2021,Grader.java,1636222230138,25843,0,(F)3(I)2(D)1(F)5,0.18181818181818182,9.090909090909092,0.0,72.72727272727273,0.0,0.0,0.44,0.0,0.04,0.32,0.0,0.0,0.08,0.0,[]
67,,Sat Nov 06 14:10:57 EDT 2021,Runner.java,1636222257656,211107,0,(F)3(I)1(D)1(I)1,0.3333333333333333,16.666666666666664,0.0,50.0,0.0,0.0,0.02843601895734597,0.0,0.004739336492890996,0.014218009478672985,0.0,0.0,0.009478672985781991,0.0,[]
68,,Sat Nov 06 14:14:30 EDT 2021,Runner.java,1636222470183,800512,0,(F)2(D)1(F)2,0.0,20.0,0.0,80.0,0.0,0.0,0.00625,0.0,0.00125,0.005,0.0,0.0,0.0,0.0,[]
69,,Sat Nov 06 14:27:50 EDT 2021,BetterSExpression.java,1636223270695,28887041,0,(F)4(I)1(F)2(I)1(F)2,0.2,0.0,0.0,80.0,0.0,0.0,3.461764807698965E-4,0.0,0.0,2.769411846159172E-4,0.0,0.0,6.92352961539793E-5,0.0,[]
70,,Sat Nov 06 22:29:17 EDT 2021,OperatorRegistry.java,1636252157737,-29969496,-29969496,(D)1(F)2(D)1(F)2(I)1(F)2(I)2(R)1(I)1(R)1,0.2857142857142857,14.285714285714285,0.0,42.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
71,,Sat Nov 06 14:09:48 EDT 2021,OperatorRegistry.java,1636222188409,30020516,0,(I)1(R)1(I)2(R)1(I)1(R)1(I)1(R)1(I)1(R)1(I)7(R)1,0.6842105263157895,0.0,0.0,0.0,0.0,0.0,6.329113924050633E-4,0.0,0.0,0.0,0.0,1.9986675549633578E-4,4.330446369087275E-4,0.0,[]
72,,Sat Nov 06 22:30:08 EDT 2021,OperatorRegistry.java,1636252208927,10559,0,(I)13(F)2,0.8666666666666667,0.0,0.0,13.333333333333334,0.0,0.0,1.5,0.0,0.0,0.2,0.0,0.0,1.3,0.0,[]
73,,Sat Nov 06 22:30:19 EDT 2021,OperatorRegistry.java,1636252219496,66118,0,(F)2(I)5(R)1(I)1(R)1(I)1(F)1,0.5833333333333334,0.0,0.0,25.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.045454545454545456,0.0,0.030303030303030304,0.10606060606060606,0.0,[]
74,,Sat Nov 06 22:31:25 EDT 2021,OperatorRegistry.java,1636252285614,27729,0,(F)1(I)7(F)4,0.5833333333333334,0.0,0.0,41.66666666666667,0.0,0.0,0.4444444444444444,0.0,0.0,0.18518518518518517,0.0,0.0,0.25925925925925924,0.0,[]
75,,Sat Nov 06 22:31:53 EDT 2021,OperatorRegistry.java,1636252313354,5113,5113,(I)17(R)2(I)3,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.4,4.0,0.0,[]
76,,Sat Nov 06 22:31:58 EDT 2021,OperatorRegistry.java,1636252318467,2016,2016,(I)9(R)12(I)4,0.52,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,6.0,6.5,0.0,[]
77,,Sat Nov 06 22:32:00 EDT 2021,OperatorRegistry.java,1636252320601,2291,2291,(I)2(R)2(I)21,0.92,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,1.0,11.5,0.0,[]
78,,Sat Nov 06 22:32:02 EDT 2021,LessThanEvaluator.java,1636252322893,-4610,-4610,(I)4(R)2(I)1(R)1(I)3(R)1(I)1,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
79,,Sat Nov 06 22:31:59 EDT 2021,LessThanEvaluator.java,1636252319351,12379,0,(R)1(I)1(R)1(I)4(F)2(I)13,0.8181818181818182,0.0,0.0,9.090909090909092,0.0,0.0,1.8333333333333333,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,1.5,0.0,[]
80,,Sat Nov 06 22:32:11 EDT 2021,OperatorRegistry.java,1636252331875,12168,0,(I)7(F)4(I)1,0.6666666666666666,0.0,0.0,33.33333333333333,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,[]
81,,Sat Nov 06 22:32:25 EDT 2021,LessThanEvaluator.java,1636252345533,16315,0,(I)7(F)2(I)11,0.9,0.0,0.0,10.0,0.0,0.0,1.25,0.0,0.0,0.125,0.0,0.0,1.125,0.0,[]
82,,Sat Nov 06 22:32:42 EDT 2021,LessThanEvaluator.java,1636252362009,16985,0,(I)3(F)2(D)2,0.42857142857142855,28.57142857142857,0.0,28.57142857142857,0.0,0.0,0.4375,0.0,0.125,0.125,0.0,0.0,0.1875,0.0,[]
83,,Sat Nov 06 22:33:03 EDT 2021,ClassRegistry.java,1636252383058,50335,0,(D)1(I)3(F)2(I)6,0.75,8.333333333333332,0.0,16.666666666666664,0.0,0.0,0.24,0.0,0.02,0.04,0.0,0.0,0.18,0.0,[]
84,,Sat Nov 06 22:33:54 EDT 2021,ClassRegistry.java,1636252434131,5652,5652,(R)1(I)3(R)1(I)10(R)1(I)8,0.875,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.6,4.2,0.0,[]
85,,Sat Nov 06 22:33:59 EDT 2021,Runner.java,1636252439911,35581,0,(I)2(D)2(F)2(I)4,0.6,20.0,0.0,20.0,0.0,0.0,0.2857142857142857,0.0,0.05714285714285714,0.05714285714285714,0.0,0.0,0.17142857142857143,0.0,[]
86,,Sat Nov 06 22:32:05 EDT 2021,Runner.java,1636252325369,151721,0,(I)2(R)1(I)7(R)1(I)1(R)1(I)1(R)1(I)3,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.11920529801324503,0.0,0.0,0.0,0.0,0.026490066225165563,0.09271523178807947,0.0,[]
87,,Sat Nov 06 22:34:37 EDT 2021,OperatorRegistry.java,1636252477090,85643,0,(I)10(R)2(I)1(F)2(I)3(R)1,0.7368421052631579,0.0,0.0,10.526315789473683,0.0,0.0,0.2235294117647059,0.0,0.0,0.023529411764705882,0.0,0.03529411764705882,0.16470588235294117,0.0,[]
88,,Sat Nov 06 22:36:02 EDT 2021,Runner.java,1636252562982,35648,0,(I)1(F)2(I)1(R)1(I)1(R)1(I)8,0.7333333333333333,0.0,0.0,13.333333333333334,0.0,0.0,0.42857142857142855,0.0,0.0,0.05714285714285714,0.0,0.05714285714285714,0.3142857142857143,0.0,[]
89,,Sat Nov 06 22:36:38 EDT 2021,Runner.java,1636252598839,3310,3310,(I)6(R)1(I)8(R)1(I)8,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.6666666666666666,7.333333333333333,0.0,[]
90,,Sat Nov 06 22:36:42 EDT 2021,LessThanEvaluator.java,1636252602153,19972,0,(I)1(D)1(I)5(R)1,0.75,12.5,0.0,0.0,0.0,0.0,0.42105263157894735,0.0,0.05263157894736842,0.0,0.0,0.05263157894736842,0.3157894736842105,0.0,[]
91,,Sat Nov 06 22:37:02 EDT 2021,LessThanEvaluator.java,1636252622499,32444,0,(I)1(F)4(I)1(R)1(I)8,0.6666666666666666,0.0,0.0,26.666666666666668,0.0,0.0,0.46875,0.0,0.0,0.125,0.0,0.03125,0.3125,0.0,[]
92,,Sat Nov 06 22:37:35 EDT 2021,LessThanEvaluator.java,1636252655831,13847,0,(I)3(R)5(I)10,0.7222222222222222,0.0,0.0,0.0,0.0,0.0,1.3846153846153846,0.0,0.0,0.0,0.0,0.38461538461538464,1.0,0.0,[]
93,,Sat Nov 06 22:37:49 EDT 2021,LessThanEvaluator.java,1636252669780,5500,5500,(I)1(R)2(I)6(R)3(I)1(R)2(I)7,0.6818181818181818,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,1.4,3.0,0.0,[]
94,,Sat Nov 06 22:37:55 EDT 2021,LessThanEvaluator.java,1636252675536,7222,7222,(I)13(R)1(I)3,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,2.4285714285714284,0.0,0.0,0.0,0.0,0.14285714285714285,2.2857142857142856,0.0,[]
95,,Sat Nov 06 22:38:03 EDT 2021,LessThanEvaluator.java,1636252683293,3854,3854,(I)14(R)1(I)9,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.3333333333333333,7.666666666666667,0.0,[]
96,,Sat Nov 06 22:38:07 EDT 2021,LessThanEvaluator.java,1636252687282,3713,3713,(I)23,1.0,0.0,0.0,0.0,0.0,0.0,7.666666666666667,0.0,0.0,0.0,0.0,0.0,7.666666666666667,0.0,[]
